Popularity,Ratings,Total Ratings,Price($),Website
0.9885036211930714,9.1,146,60,http://dailyprovisionsnyc.com
0.9909620839784287,9.3,469,181,https://levainbakery.com
0.9359365745695611,8.8,50,115,http://sushikaito.co
0.9852222072132919,8.8,44,200,http://www.btwbakery.com
0.9947671941728405,9.2,140,198,https://levainbakery.com
0.9939650245742371,9.2,259,132,https://www.breadsbakery.com
0.9943224680223194,8.8,1138,187,https://www.empmamanyc.com
0.9957605544529764,8.8,120,89,http://www.bosbagels.com
0.9992435499121978,8.9,1677,220,http://urbanspacenyc.com/our-markets/urbanspacevanderbilt
0.9935306892216254,9.1,218,57,https://boqueriarestaurant.com/tapas-bar-nyc-west-40th
