Popularity,Ratings,Total Ratings,Price($),Website
0.3579172684670456,8.6,25,229,http://www.dfctravel.com
0.8348777522625962,7.1,228,75,http://kgtravelclub.com
0.6314695705483224,8.9,692,229,https://www.hotwire.com/New-York-Hotels.d178293.Travel-Guide-Hotels
0.7210112324525401,9.6,89,191,https://blueorangetravel.com
0.2223111212710024,7.7,30,63,http://protravelinc.com
0.5670570143081287,6.9,517,194,https://www.gadrealty.com
0.7479836656656864,6.1,203,223,http://www.empirelimousine.net
0.5800226519394425,8.6,558,147,https://certares.com
0.3987718076871123,6.9,603,111,http://www.executiveglobaltours.com
0.779681833768015,9.2,6,234,http://www.encorejets.com
