Popularity,Ratings,Total Ratings,Price($),Website
0.6082043504456403,8.6,25,229,http://kgtravelclub.com
0.43061932561859845,7.1,228,75,https://www.hotwire.com/New-York-Hotels.d178293.Travel-Guide-Hotels
0.10808592857291255,8.9,692,229,https://blueorangetravel.com
0.06387925124135209,9.6,89,191,http://www.globaltravelconceptsnyc.com
0.12681943780774105,7.7,30,63,https://www.gadrealty.com
0.48458853593168927,6.9,517,194,http://www.empirelimousine.net
0.46661126462094615,6.1,203,223,http://www.encorejets.com
0.7854839714956475,8.6,558,147,http://www.blueribbonbags.com
0.4393493029730123,6.9,603,111,https://www.vaccationtravel.com
0.6820601250701183,9.2,6,234,http://www.classictravel.com
